review_no,category,brand_name,product_name,review_title,review_detail,review_date,review_views,brand,brand_code
272,1,라 콘타디나,버팔로 모짜렐라,샐러드만들기 추천 ,부라타치즈가 품절이라서 버팔로 모짜렐라로 샐러드를 만들어봤어요. 퐁신퐁신한 질감이라서 부라타치즈와 유사해요. 가격대비로 봤을 때도 괜찮은 것 같아요,2020-09-15,16,라 콘타디나,9
756,2,안젤로,고르곤졸라 피칸테,만족 ,피칸테 만족합니다 ~,2020-09-25,5,안젤로,7
331,5,사토리,사베치오 파마산,파스타용으로 ,딸 요청으로 구매. 정통 까르보나라는 달걀과 파마산치즈로... 남은건 크래드에 잘 싸둠.,2020-09-21,15,사토리,39
636,10,앙트르몽,에멘탈 치즈,에멘탈 ,구멍이숑숑 무지크네요그램수는같겠죠?,2020-10-15,13,앙트르몽,14
972,8,카스텔로,덴마크 브리 치즈,캠핑가서 브리치즈구이 해먹었어요 ,가격대비 맛도 괜찮은듯해요,2020-10-26,10,카스텔로,32
917,8,카스텔로,덴마크 브리 치즈,브리치즈 ,넘 좋아하는 브리치즈 맛있어요,2020-10-29,3,카스텔로,32
851,6,빔스터,110년 전통 고다치즈 3종,에이지드랑 일반 둘다 먹어봤어요 ,지난 번에 에이지드 시켰는데 약간 씁쓸한..? 치즈 향이 강한 것 같아서 이번엔 일반으로 시켰어요,2020-09-05,22,빔스터,24
674,10,앙트르몽,에멘탈 치즈,피자에 넣어 먹었어용 ,풍미가 엄청 훅 올라오는 건 없지만,2020-10-05,6,앙트르몽,14
803,6,빔스터,110년 전통 고다치즈 3종,무난 ,와인 안주로 종종먹어요.,2020-10-27,1,빔스터,24
695,10,앙트르몽,에멘탈 치즈,두번째 ,두번째구매입니다. 적당히 먹기 좋은 맛이예요. 여행가서 먹을 예정입니다,2020-09-24,5,앙트르몽,14
900,8,카스텔로,덴마크 브리 치즈,좋아요! ,항상 주문하던거에요 할인일때 사서 저렴하게 잘산것 같아요~~,2020-10-30,3,카스텔로,32
988,8,카스텔로,덴마크 브리 치즈,재구매 ,샌드위치에 정말 좋아요,2020-10-25,4,카스텔로,32
766,2,안젤로,고르곤졸라 피칸테,치즈향이 강해요 ,생각보다 향이 강해서 놀랐어요,2020-09-21,7,안젤로,7
529,7,카스텔로,덴마크 까망베르 치즈,치즈구이로 으뜸! ,"살짝 칼집내고 견과류와 건과일, 꿀 뿌려 오븐이나 에프에 살짝 구워주면 아주 눈돌아가는 맛에 끊을 수가 없음",2020-10-23,5,카스텔로,32
411,3,콜롬보,리코타,좋아요!! ,맛있어요!!!!!!,2020-10-29,0,콜롬보,28
396,5,사토리,사베치오 파마산,맛나요~~ ,파스타에 갈아 넣으니~~살살 녹아요!!,2020-07-05,4,사토리,39
731,2,안젤로,고르곤졸라 피칸테,항상 사는 보편적인 고르곤졸라 ,향도 은은하게 잘 나고 좋은 것 같아요 항상 구매하는 제품이에요,2020-10-09,6,안젤로,7
1,0,퀘스크렘,블루치즈 크림치즈,치즈맛 찐해요 ,꼬소한 치즈 냄새가 확 나요,2020-10-26,4,퀘스크렘,0
268,1,라 콘타디나,버팔로 모짜렐라,빨리 먹고 싶네요 ,컬리에서 주문을 했네요,2020-09-16,1,라 콘타디나,9
404,3,콜롬보,리코타,맛있어요 ,부드럽고 아주 좋네요,2020-10-29,6,콜롬보,28
82,0,퀘스크렘,블루치즈 크림치즈,잘 먹고 있어요 ,크림치즈 치고 텍스춰가 살짝 하드하지만...잘 먹고 있어요,2020-08-08,4,퀘스크렘,0
864,6,빔스터,110년 전통 고다치즈 3종,쏘쏘 ,일단 그냥 먹어보고 샐러드랑 같이 와서 샐러드랑도 먹음.,2020-08-29,10,빔스터,24
827,6,빔스터,110년 전통 고다치즈 3종,고다 ,고다 너무 좋아해요,2020-10-06,12,빔스터,24
79,0,퀘스크렘,블루치즈 크림치즈,고소~ ,고소하고 맛나는데 쫌 작은양이 있슴~,2020-08-12,5,퀘스크렘,0
955,8,카스텔로,덴마크 브리 치즈,좋아요:) ,부서지는 듯하면서도 찰진 특이한 질감에 브리치즈 특유의 쿰쿰한 뒷향이 살아있어요. 카스텔로 제품이 보기보다 후각적이나 미각적인 풍미가 강한거 같아요. 생으로 먹기에 식감은 약간 플라스틱 지우개 같은 느낌은 있습니다. 그래서 약간 녹이는 듯한 상태로 먹을때 식감이 더 좋아요.,2020-10-28,14,카스텔로,32
884,6,빔스터,110년 전통 고다치즈 3종,부드럽고 짜지 않은 치즈 ,많이 짜지 않고 되게 부드럽게 잘라지는 gouda cheese이에용,2020-08-12,7,빔스터,24
12,0,퀘스크렘,블루치즈 크림치즈,빵에도 샐러드도 좋아요 ,빵에 간편하게 발라먹고 와인안주로 먹고 좋네요,2020-10-20,6,퀘스크렘,0
870,6,빔스터,110년 전통 고다치즈 3종,아주 좋아요~ ,맛있습니다. 다양하게 쓸것같아요~,2020-08-25,14,빔스터,24
582,7,카스텔로,덴마크 까망베르 치즈,"버섯풍미도 강하고 맛이 좋은제품인데, 항상 녹은... ",렌지에 돌리지않고 그냥 포장 벗긴 상태인데 플라스틱포장지에도 치즈물(?)이 흥건히 고여 굳은상태였어요. 비닐은 딱 붙은상태..,2020-10-08,17,카스텔로,32
33,0,퀘스크렘,블루치즈 크림치즈,맛있어요 ,좋아요 좋아요...,2020-09-09,9,퀘스크렘,0
846,6,빔스터,110년 전통 고다치즈 3종,맛있네요 ,"서울** 슬라이스 고다치즈만 먹다가,",2020-09-08,6,빔스터,24
724,2,안젤로,고르곤졸라 피칸테,꼬릿꼬릿 ,좋아합니다~~~최애 술안주,2020-10-14,3,안젤로,7
655,10,앙트르몽,에멘탈 치즈,아직 ,맛있었음 좋겠습니당,2020-10-11,17,앙트르몽,14
66,0,퀘스크렘,블루치즈 크림치즈,호불호 ,남편은 인상써요 ㅎㅎㅎ,2020-08-17,24,퀘스크렘,0
857,6,빔스터,110년 전통 고다치즈 3종,첫구매 ,와인안주하려고삿는데,2020-09-02,10,빔스터,24
784,2,안젤로,고르곤졸라 피칸테,믿고구매 ,마켓컬리 제품이라 믿고 구매합니다,2020-09-12,9,안젤로,7
541,7,카스텔로,덴마크 까망베르 치즈,넘 맛있어요 ,호텔뷔페에서 먹던맛이네요,2020-10-21,2,카스텔로,32
625,10,앙트르몽,에멘탈 치즈,음.. ,맛이 많이 심심하네요..퐁듀할때 그냥 재료로 넣어버리려구요.. 제 입맛이랑은 잘 안맞네요 ㅠ ㅠ,2020-10-21,10,앙트르몽,14
979,8,카스텔로,덴마크 브리 치즈,좋아요 ,평소에 브리치즈 좋아하는데,2020-10-26,5,카스텔로,32
962,8,카스텔로,덴마크 브리 치즈,맛나요 ,근데 넘 많이 사먹어서 이제 물리네요 ㅠㅠ,2020-10-27,0,카스텔로,32
903,8,카스텔로,덴마크 브리 치즈,와인안주로 ,꿀발라 구울꺼에여 흐뭇,2020-10-30,3,카스텔로,32
782,2,안젤로,고르곤졸라 피칸테,파스타 해먹으려구 ,고르곤졸라가 돌체와 피깐떼 두종류가 있는데 피깐떼가 좀더 숙성된거래요~,2020-09-12,11,안젤로,7
700,2,안젤로,고르곤졸라 피칸테,굿 ,마요에 섞어서 채소딥으로 먹기 딱,2020-10-29,0,안젤로,7
615,10,앙트르몽,에멘탈 치즈,처음 ,먹어봤는데 샌드위치랑 조합이 좋네요,2020-10-23,10,앙트르몽,14
22,0,퀘스크렘,블루치즈 크림치즈,맛있어요 ,향도진하고 바게뜨에발라 먹으니 맛있네요,2020-10-13,9,퀘스크렘,0
137,4,사토리,헤리티지 체다,명성만큼 진한 맛 ,샌드위치용으로 좋아요,2020-07-24,5,사토리,39
556,7,카스텔로,덴마크 까망베르 치즈,덴마크 ,무난하고 맛있어요,2020-10-18,10,카스텔로,32
967,8,카스텔로,덴마크 브리 치즈,담백한 빵에... ,빵에 잘게 잘라 냠냠~,2020-10-26,12,카스텔로,32
432,3,콜롬보,리코타,샐러드에 ,샐러드에 뚝뚝 떠 넣어 엊히니 아주 좋네요,2020-10-26,2,콜롬보,28
520,7,카스텔로,덴마크 까망베르 치즈,샌드위치 ,샌드위치용으로 사용하려구요~,2020-10-25,1,카스텔로,32
768,2,안젤로,고르곤졸라 피칸테,과일 위에 얻을 치즈 만들어요 ,생크림에 고르곤졸라랑 고다치즈 끓이면서 녹이고 후추 넉넉하게 뿌려서 냉장실에 굳히면 딱딱한 과일에 곁들여 먹기 정말 좋아요. 손님 왔을 때 그냥 과일 내놓기 보다는 치즈도 같이 얹어서 주면 좀 더 신경쓰는 것 같아서 잘 사용하고 있는 레시피에요,2020-09-19,6,안젤로,7
733,2,안젤로,고르곤졸라 피칸테,맛있어요! ,꿀이랑 조합이 잘 맞아요!,2020-10-09,1,안젤로,7
441,3,콜롬보,리코타,rich 하고thick해요 ,쫀쫀하고 맛있네요,2020-10-25,6,콜롬보,28
0,0,퀘스크렘,블루치즈 크림치즈,고르곤졸라피자를 좋아하신다면! ,아웃백의 블루치즈드레싱을 엄청 좋아하고 고르곤졸라피자도 좋아합니다. 그래서 혹시 그 꼬릿한 맛이 나는 치즈일까해서 구매해봤는데 맞네요!,2020-10-27,4,퀘스크렘,0
841,6,빔스터,110년 전통 고다치즈 3종,치즈 맛이 풍부해요 ,치즈향이 풍부하고 깊어서 파스타에 뿌려먹으면 너무 좋을 것 같아요,2020-09-14,9,빔스터,24
37,0,퀘스크렘,블루치즈 크림치즈,맛있어요 ,후기평보고 샀는데 맛나요,2020-09-03,3,퀘스크렘,0
886,6,빔스터,110년 전통 고다치즈 3종,음 ,제 입맛엔 별로였지만 친구가 잘 먹어서 줬어요 ㅎㅎ,2020-08-09,5,빔스터,24
219,1,라 콘타디나,버팔로 모짜렐라,굿굿 ,와인 안주로 아보카도랑 올리브오일 소금 후추 해서 ,2020-10-15,7,라 콘타디나,9
65,0,퀘스크렘,블루치즈 크림치즈,중독성 있는 맛 ,묘하게 중독성 있는 맛입니다. 블루치즈의 향이 강하지 않은 게 아쉬워요,2020-08-18,28,퀘스크렘,0
132,4,사토리,헤리티지 체다,헤리티지 체다치즈 ,"일단 너무 부드럽고 꾸리한 냄새도 없고요,",2020-08-04,5,사토리,39
630,10,앙트르몽,에멘탈 치즈,맛있어요 ,리치몬드 발누스 빵에 에그스프레드바르고 루꼴라랑 존쿡 피프파스트라미해서 먹으면 맛있어요!!!,2020-10-19,15,앙트르몽,14
621,10,앙트르몽,에멘탈 치즈,퐁듀용 ,퐁듀할려고 샀어요.,2020-10-22,7,앙트르몽,14
70,0,퀘스크렘,블루치즈 크림치즈,리조또에첨가 ,제가 원래 고르곤졸라같은 블루치즈를좋아하는데요.,2020-08-16,12,퀘스크렘,0
895,6,빔스터,110년 전통 고다치즈 3종,재구매 ,와인안주로 너무 좋군요~~,2020-07-30,9,빔스터,24
315,5,사토리,사베치오 파마산,굿 ,고소하고 맛있어요~~청포도와 함께 먹으니 더 맛있어요~,2020-10-10,13,사토리,39
837,6,빔스터,110년 전통 고다치즈 3종,먹기전 ,후기가 좋아서 사보았음,2020-09-20,17,빔스터,24
835,6,빔스터,110년 전통 고다치즈 3종,넘 맛있어요 ,재구매 행진. 맛있어요.,2020-09-22,19,빔스터,24
209,1,라 콘타디나,버팔로 모짜렐라,맛있어요. ,보들보들 치즈는 언제나 사랑입니다~ ,2020-10-23,11,라 콘타디나,9
18,0,퀘스크렘,블루치즈 크림치즈,베이글에 ,발라 먹어보려구요 ㅎㅎ,2020-10-15,28,퀘스크렘,0
527,7,카스텔로,덴마크 까망베르 치즈,맛있어요 *.* ,어제도착하자마자 먹어봤는데 맛있어요. 쓰지도않고 벌써 절반이나 먹었네요. 또 사러올게요,2020-10-23,1,카스텔로,32
744,2,안젤로,고르곤졸라 피칸테,11월5일까지 ,유통기한이잛지만 세일이라 좋아요.,2020-10-06,4,안젤로,7
400,3,콜롬보,리코타,ㄹㅋㅌ ,리코타 세일해서 샀어요,2020-10-30,9,콜롬보,28
239,1,라 콘타디나,버팔로 모짜렐라,맛있어요 ,부라타 대용으로 좋아요,2020-09-28,17,라 콘타디나,9
592,7,카스텔로,덴마크 까망베르 치즈,그냥 그래요 ,걍 그래요 제 입맛에는 별로요 ㅜㅜ,2020-10-06,7,카스텔로,32
394,5,사토리,사베치오 파마산,러브잇 ,치즈 넘 조아하는데 넘 맛남,2020-07-05,18,사토리,39
329,5,사토리,사베치오 파마산,파마신 너무 좋아요 ,따로 갈아서 쓰진 않았고 안주로 먹는데,2020-09-24,13,사토리,39
949,8,카스텔로,덴마크 브리 치즈,좋아요 ,요즘 치즈는 요것만 사요 메이플시럽 곁들여 먹음 맛있네요,2020-10-28,3,카스텔로,32
992,8,카스텔로,덴마크 브리 치즈,맛있어요 ,불쾌한 냄새 안나고 우유맛 많이 나요 샌드위치에도 잘어울리고 꿀이랑 호두랑 먹었더니 맛있었어요,2020-10-25,0,카스텔로,32
607,10,앙트르몽,에멘탈 치즈,굳 ,먹어보니 이게 젤 맛있어요,2020-10-25,10,앙트르몽,14
106,4,사토리,헤리티지 체다,세일해서 구매 ,같은 브랜드 치즈가 다 맛있어서 구매했어요,2020-09-14,1,사토리,39
640,10,앙트르몽,에멘탈 치즈,. ,진하고 좋아요. ㄴㄷㄱㄷ,2020-10-15,2,앙트르몽,14
376,5,사토리,사베치오 파마산,갈아먹고 먹고 ,파스타나 샐러드나 어디든 뿌릴라고 한번 사봤어요 ,2020-07-27,8,사토리,39
58,0,퀘스크렘,블루치즈 크림치즈,맛있어요^^ ,크림치즈가 꾸덕하니 머끼 좋아요 맛있어요,2020-08-21,9,퀘스크렘,0
5,0,퀘스크렘,블루치즈 크림치즈,제대로 치즈 ,진한 크림치즈를 먹고 싶다면추천,2020-10-24,2,퀘스크렘,0
994,8,카스텔로,덴마크 브리 치즈,애플 브리 샌드위치 ,애플브리 샌드위치 너무 좋아해서 자주 시켜먹어요,2020-10-25,3,카스텔로,32
15,0,퀘스크렘,블루치즈 크림치즈,만족합니다. ,잘 숙성된 치즈의 향입니다.,2020-10-17,5,퀘스크렘,0
405,3,콜롬보,리코타,리코타치즈 재구매 ,재입고 되자마자 구매했어요 자주 시켜먹는데 맛있어요,2020-10-29,9,콜롬보,28
214,1,라 콘타디나,버팔로 모짜렐라,부드럽고 진해요 ,진하고 부드러운 맛이 좋네요. 그냥 먹어도 고소하고 좋아요,2020-10-20,12,라 콘타디나,9
918,8,카스텔로,덴마크 브리 치즈,맛있어요. ,브리치즈는 역시 특유의 식감 때문에 취저인 치즈입니다.,2020-10-29,5,카스텔로,32
951,8,카스텔로,덴마크 브리 치즈,치 ,좋아요 맛있어요,2020-10-28,11,카스텔로,32
360,5,사토리,사베치오 파마산,치즈 ,갈아먹으려고 샀어요,2020-08-11,8,사토리,39
805,6,빔스터,110년 전통 고다치즈 3종,쪼매 ,맛있다길래 넘작네ㅎ,2020-10-27,4,빔스터,24
28,0,퀘스크렘,블루치즈 크림치즈,블루치즈 ,음 익숙한 크림치즈맛은 아니네요,2020-09-18,15,퀘스크렘,0
608,10,앙트르몽,에멘탈 치즈,맛있어요 ,와인과 먹으려고 구매,2020-10-25,16,앙트르몽,14
578,7,카스텔로,덴마크 까망베르 치즈,맛있어요! ,치즈 초보도 먹기 좋았어요,2020-10-11,6,카스텔로,32
623,10,앙트르몽,에멘탈 치즈,에멘탈 ,피자에 넣으려고 주문함,2020-10-21,13,앙트르몽,14
438,3,콜롬보,리코타,고소해요 ,담백 고소 괜찮네요,2020-10-25,11,콜롬보,28
980,8,카스텔로,덴마크 브리 치즈,가성비 ,가성비 좋은거 같네요,2020-10-26,2,카스텔로,32
759,2,안젤로,고르곤졸라 피칸테,주말 하우스 피자의 화룡정점을 담당하는 고르곤졸라 ,주말 하우스 피자의 화룡정점을 담당하는 고르곤졸라,2020-09-24,6,안젤로,7
498,3,콜롬보,리코타,맛있어요 ,다른거에비해 싱겁긴 하지만 건강한맛이라고 생각해요,2020-10-17,2,콜롬보,28
868,6,빔스터,110년 전통 고다치즈 3종,진짜 맛있어요 ,와우 진짜 맛있어요~ 재주문 의향 있어요!,2020-08-27,12,빔스터,24
449,3,콜롬보,리코타,리코타 ,담백하고 맛있어요 여러모로 잘 먹을 듯 하네요,2020-10-23,5,콜롬보,28
680,10,앙트르몽,에멘탈 치즈,굿 ,치즈 좋아하는 딸이 잘 먹네요~맛있대요,2020-10-02,1,앙트르몽,14
361,5,사토리,사베치오 파마산,샤샤샥 눈꽃처럼 ,샐러드나 파스타 어디에나 눈꽃처럼 샤샤샥 뿌려 먹습니다 ,2020-08-11,20,사토리,39
707,2,안젤로,고르곤졸라 피칸테,못먹겠어요...이렇게 먹기힘든 건줄몰랐네요 ,피자 위에 올라간 고르곤졸라는 사과향이나고 정말 향긋하고 부드러웠는데...이건 절대 그런맛이 안나네요. ,2020-10-25,3,안젤로,7
814,6,빔스터,110년 전통 고다치즈 3종,탁월하네요~~ ,안주로 짜지 않고 너무 맛있네요,2020-10-20,3,빔스터,24
426,3,콜롬보,리코타,샐러드용 ,샐러드에 소스없이 리코타치즈 넣어서 먹는데 괜찮네요.,2020-10-27,10,콜롬보,28
823,6,빔스터,110년 전통 고다치즈 3종,상품평 ,보고 와인에 먹어보려고 구매,2020-10-11,4,빔스터,24
740,2,안젤로,고르곤졸라 피칸테,고르곤졸라 피자 ,또띠아 위에 고르곤졸라 피자용으로 구입했는데 괜찮네요,2020-10-06,3,안젤로,7
413,3,콜롬보,리코타,좋아요 ,샐러드와 곁들이려구요,2020-10-28,2,콜롬보,28
698,10,앙트르몽,에멘탈 치즈,최애치즈 ,에멘탈 넘좋아해서 종종.시켜먹어요~,2020-09-24,13,앙트르몽,14
46,0,퀘스크렘,블루치즈 크림치즈,맛있어요 ,베이글에 발라먹는데 풍미가 좋아요,2020-08-27,7,퀘스크렘,0
966,8,카스텔로,덴마크 브리 치즈,와인이랑 함께 ,무난한 브리치즈에요! 와인이랑.최고,2020-10-27,14,카스텔로,32
453,3,콜롬보,리코타,첫구매 , 후기괜찮아서 구매해요,2020-10-23,13,콜롬보,28
769,2,안젤로,고르곤졸라 피칸테,음 ,다른브랜드거보다 좀더 강한맛입니당,2020-09-17,13,안젤로,7
479,3,콜롬보,리코타,오늘이 10월 20일 ,11월 2일까지더라구요 유통기한이,2020-10-20,5,콜롬보,28
110,4,사토리,헤리티지 체다,이렇게 맛있다니!! ,후기만 보고 샀는데 정말 안샀으면 후회할뻔 ㅠㅠㅠㅠㅠ 그냥 먹어도 빵에 올려먹어도 샌드위치에 넣어먹어도 다 맛있어요. 오자마자 맛보려고 뜯었다가 맨입에 계속 먹었어요.,2020-09-12,4,사토리,39
874,6,빔스터,110년 전통 고다치즈 3종,재구매 ,쌉쌀해서 땡기네요~,2020-08-22,13,빔스터,24
440,3,콜롬보,리코타,굿 ,진짜 맛있어요 고소하고 담백해요,2020-10-25,5,콜롬보,28
617,10,앙트르몽,에멘탈 치즈,의외 ,가격 저렴해서 기대안했는데 의외로 깊은맛,2020-10-23,14,앙트르몽,14
124,4,사토리,헤리티지 체다,재 구매 입니다~ ,먹어보니 입맛에 맛는 건강한 치즈인 것 같아,2020-08-22,10,사토리,39
875,6,빔스터,110년 전통 고다치즈 3종,굿 ,꽤 짭짤한데,2020-08-21,2,빔스터,24
374,5,사토리,사베치오 파마산,좋아요 ,토핑하면 넘 맛있어요,2020-07-29,9,사토리,39
216,1,라 콘타디나,버팔로 모짜렐라,무화과랑 ,수분많고 부드러운 치즈에요,2020-10-18,7,라 콘타디나,9
968,8,카스텔로,덴마크 브리 치즈,치즈 너무 맛나용 ,까망베르 sz 너무 맛나서 와인 홀짝 꿀에 찍어먹어도 맛나요,2020-10-26,8,카스텔로,32
721,2,안젤로,고르곤졸라 피칸테,음~~ ,냄새와 맛이 정반대ㅋ,2020-10-15,2,안젤로,7
598,7,카스텔로,덴마크 까망베르 치즈,와인 안주로 딱!! ,"브릭 치즈보다는 큥큥한 냄새가 더 심하지만,치즈에 깊은 맛이 느껴져서 이걸로 구매했어욥 !!",2020-10-05,6,카스텔로,32
427,3,콜롬보,리코타,샐러드 ,해먹었어요,2020-10-27,1,콜롬보,28
937,8,카스텔로,덴마크 브리 치즈,아주 죻은 와인 안쥬 :) ,"브리치즈 구이해서 와인 안주했어요 ㅋㅋ 치아바타에 슥슥 발라 먹고, 컬리에서 산 하몽에 멜론 곁들였더니 아 취한다",2020-10-28,7,카스텔로,32
806,6,빔스터,110년 전통 고다치즈 3종,빔스터 ,맛있어요,2020-10-25,0,빔스터,24
662,10,앙트르몽,에멘탈 치즈,귀엽네요 ,샌드위치 해먹으려고 샀는데 두세개정도 만들수 있을것 같아요. 슬라이스형이 아니라 좀 쓰기에 불편하지만 그래도 귀엽네요,2020-10-09,6,앙트르몽,14
457,3,콜롬보,리코타,샤인머스켓과 끝장 존맛 ,샤인머스켓곁들여 수시로 먹어요 최고 애피타이저죠,2020-10-22,6,콜롬보,28
819,6,빔스터,110년 전통 고다치즈 3종,부드러운 ,치즈. 전 좀더 짠한 고다치즈를 생각했는데 더 부드러운 맛과 삭감이에요. 로얄~ 어울리는 이름,2020-10-17,2,빔스터,24
482,3,콜롬보,리코타,유통기한 12일 ,유통기한 12일 남은 걸 보내주시다니...이 정도면 설명 페이지에 ‘유통기한 임박’이라 적어야 하는 거 아닌가요?!,2020-10-20,2,콜롬보,28
730,2,안젤로,고르곤졸라 피칸테,자주 구입 ,자주 구입해요. 가격이 착한만큼 맛도 순해요.,2020-10-10,7,안젤로,7
127,4,사토리,헤리티지 체다,오 맛있어용 ,체다에 요새 빠져서 와인하고 맛있어용 다른 체다도 구매해보는걸로,2020-08-10,3,사토리,39
154,4,사토리,헤리티지 체다,일주일만에 두개 순삭 ,8세 아이가 이걸 너무 좋아해서 자꾸만 제꺼를 뺏어먹네요 ㅎㅎ 누가보면 와인안준줄.... 8세 간식입니다,2020-04-23,20,사토리,39
871,6,빔스터,110년 전통 고다치즈 3종,맛있어요 ,에이지드랑 비교했을때 확실히 풍미가 더 하고 ,2020-08-24,2,빔스터,24
390,5,사토리,사베치오 파마산,우리가 먹던 그 맛! 굿! ,파스타 집이나 브런치 가게 가면 먹던 그 맛입니다. 맛있습니다. 샐러드를 먹을 때 위에 먹고 또 갉아서 올려 먹습니다. ,2020-07-11,39,사토리,39
530,7,카스텔로,덴마크 까망베르 치즈,굿~ ,토마토와 함께 먹으면 풍미가 끝~,2020-10-23,3,카스텔로,32
876,6,빔스터,110년 전통 고다치즈 3종,진짜 ,이렇게 맛난 고다치즈! 오랜만이요,2020-08-21,12,빔스터,24
602,10,앙트르몽,에멘탈 치즈,굿 ,아이들 어른들 다 잘 먹는 치즈에요~,2020-10-28,12,앙트르몽,14
504,7,카스텔로,덴마크 까망베르 치즈,좋아요 ,할인하네요 맛 괜찮아요,2020-10-28,3,카스텔로,32
929,8,카스텔로,덴마크 브리 치즈,와인안주로 딱! ,치즈 에어프라이어에 돌리고 메이플시럽이랑 건과류 뿌려주고 과자랑 먹으니 천국이에요! 재구매의사 오조오억퍼센트,2020-10-29,7,카스텔로,32
38,0,퀘스크렘,블루치즈 크림치즈,엄청 맛있어요! ,평소에 꾸링꾸링한 치즈를 좋아한다면 아주 딱!인 크림치즈입니다! 맛있어요~,2020-09-02,7,퀘스크렘,0
588,7,카스텔로,덴마크 까망베르 치즈,괜춘 , 전에 먹던 것보다 냄새는 덜한데 고소하고 촉촉하네요. 냄새가 덜한게 좀 아쉽지만 그래도 술안주나 간식으러 만족스럽습니다^^,2020-10-06,3,카스텔로,32
628,10,앙트르몽,에멘탈 치즈,치즈 파스타로 굿 ,치즈 파스타 하려고 구매했어요,2020-10-19,17,앙트르몽,14
936,8,카스텔로,덴마크 브리 치즈,아직 ,아직 안먹어봤는데 기대중!,2020-10-29,4,카스텔로,32
392,5,사토리,사베치오 파마산,샐러드용 ,샐러드 위에 뿌려 먹으려고 샀어요. 두루두루 쓰기 좋아요.,2020-07-08,2,사토리,39
855,6,빔스터,110년 전통 고다치즈 3종,재구매 ,고다치즈 너무 잘 먹었어서 이번에 또 샀어요,2020-09-03,4,빔스터,24
